"distrito","departamento","provincia","rango_edad","test_number","tamizaje_reactivo","year"
"IMAZA","AMAZONAS","BAGUA","<12 años",1,0,"2016"
"IMAZA","AMAZONAS","BAGUA","12-17 años",293,5,"2017"
"IMAZA","AMAZONAS","BAGUA","18-29 años",1110,32,"2017"
"IMAZA","AMAZONAS","BAGUA","30-59 años",523,11,"2017"
"IMAZA","AMAZONAS","BAGUA","12-17 años",335,5,"2018"
"IMAZA","AMAZONAS","BAGUA","18-29 años",1128,28,"2018"
"IMAZA","AMAZONAS","BAGUA","30-59 años",549,19,"2018"
"IMAZA","AMAZONAS","BAGUA","<12 años",1,0,"2018"
"IMAZA","AMAZONAS","BAGUA","12-17 años",8,0,"2019"
"IMAZA","AMAZONAS","BAGUA","18-29 años",47,0,"2019"
"IMAZA","AMAZONAS","BAGUA","30-59 años",27,1,"2019"
"IMAZA","AMAZONAS","BAGUA","12-17 años",69,1,"2020"
"IMAZA","AMAZONAS","BAGUA","18-29 años",198,0,"2020"
"IMAZA","AMAZONAS","BAGUA","30-59 años",81,0,"2020"
"IMAZA","AMAZONAS","BAGUA","12-17 años",118,1,"2021"
"IMAZA","AMAZONAS","BAGUA","18-29 años",366,1,"2021"
"IMAZA","AMAZONAS","BAGUA","30-59 años",146,2,"2021"
"IMAZA","AMAZONAS","BAGUA","12-17 años",253,1,"2022"
"IMAZA","AMAZONAS","BAGUA","18-29 años",710,2,"2022"
"IMAZA","AMAZONAS","BAGUA","30-59 años",295,1,"2022"
"IMAZA","AMAZONAS","BAGUA","<12 años",1,0,"2022"
"LA PECA","AMAZONAS","BAGUA","12-17 años",2,0,"2011"
"LA PECA","AMAZONAS","BAGUA","18-29 años",4,0,"2011"
"LA PECA","AMAZONAS","BAGUA","30-59 años",10,0,"2011"
"LA PECA","AMAZONAS","BAGUA","12-17 años",11,0,"2012"
"LA PECA","AMAZONAS","BAGUA","18-29 años",43,1,"2012"
"LA PECA","AMAZONAS","BAGUA","30-59 años",18,0,"2012"
"LA PECA","AMAZONAS","BAGUA","12-17 años",17,1,"2013"
"LA PECA","AMAZONAS","BAGUA","18-29 años",49,3,"2013"
"LA PECA","AMAZONAS","BAGUA","30-59 años",26,0,"2013"
"LA PECA","AMAZONAS","BAGUA","12-17 años",19,0,"2014"
"LA PECA","AMAZONAS","BAGUA","18-29 años",47,2,"2014"
"LA PECA","AMAZONAS","BAGUA","30-59 años",30,0,"2014"
"LA PECA","AMAZONAS","BAGUA","12-17 años",12,0,"2015"
"LA PECA","AMAZONAS","BAGUA","18-29 años",38,1,"2015"
"LA PECA","AMAZONAS","BAGUA","30-59 años",27,0,"2015"
"LA PECA","AMAZONAS","BAGUA","12-17 años",13,0,"2016"
"LA PECA","AMAZONAS","BAGUA","18-29 años",52,0,"2016"
"LA PECA","AMAZONAS","BAGUA","30-59 años",27,0,"2016"
"LA PECA","AMAZONAS","BAGUA","12-17 años",14,0,"2017"
"LA PECA","AMAZONAS","BAGUA","18-29 años",64,0,"2017"
"LA PECA","AMAZONAS","BAGUA","30-59 años",48,0,"2017"
"LA PECA","AMAZONAS","BAGUA","12-17 años",13,0,"2018"
"LA PECA","AMAZONAS","BAGUA","18-29 años",57,0,"2018"
"LA PECA","AMAZONAS","BAGUA","30-59 años",55,0,"2018"
"LA PECA","AMAZONAS","BAGUA","18-29 años",1,0,"2021"
"CHISQUILLA","AMAZONAS","BONGARA","18-29 años",1,0,"2012"
"CHISQUILLA","AMAZONAS","BONGARA","30-59 años",1,0,"2012"
"CHISQUILLA","AMAZONAS","BONGARA","12-17 años",1,0,"2015"
"CHISQUILLA","AMAZONAS","BONGARA","12-17 años",1,0,"2016"
"CHISQUILLA","AMAZONAS","BONGARA","18-29 años",2,0,"2016"
"CHISQUILLA","AMAZONAS","BONGARA","18-29 años",2,0,"2017"
"CHISQUILLA","AMAZONAS","BONGARA","30-59 años",2,0,"2017"
"CHISQUILLA","AMAZONAS","BONGARA","12-17 años",2,0,"2021"
"CHISQUILLA","AMAZONAS","BONGARA","18-29 años",1,0,"2021"
"CHISQUILLA","AMAZONAS","BONGARA","30-59 años",3,0,"2021"
"CHISQUILLA","AMAZONAS","BONGARA","12-17 años",1,0,"2022"
"CHISQUILLA","AMAZONAS","BONGARA","18-29 años",2,0,"2022"
"CHISQUILLA","AMAZONAS","BONGARA","30-59 años",2,0,"2022"
"CHURUJA","AMAZONAS","BONGARA","18-29 años",4,0,"2011"
"CHURUJA","AMAZONAS","BONGARA","30-59 años",1,0,"2011"
"CHURUJA","AMAZONAS","BONGARA","12-17 años",1,0,"2012"
"CHURUJA","AMAZONAS","BONGARA","18-29 años",6,0,"2012"
"CHURUJA","AMAZONAS","BONGARA","30-59 años",3,0,"2012"
"CHURUJA","AMAZONAS","BONGARA","12-17 años",1,0,"2013"
"CHURUJA","AMAZONAS","BONGARA","18-29 años",3,0,"2013"
"CHURUJA","AMAZONAS","BONGARA","30-59 años",4,0,"2013"
"CHURUJA","AMAZONAS","BONGARA","18-29 años",2,0,"2014"
"CHURUJA","AMAZONAS","BONGARA","12-17 años",1,0,"2015"
"CHURUJA","AMAZONAS","BONGARA","18-29 años",0,0,"2015"
"CHURUJA","AMAZONAS","BONGARA","30-59 años",1,0,"2015"
"CHURUJA","AMAZONAS","BONGARA","18-29 años",3,0,"2016"
"CHURUJA","AMAZONAS","BONGARA","30-59 años",1,0,"2016"
"CHURUJA","AMAZONAS","BONGARA","12-17 años",1,0,"2017"
"CHURUJA","AMAZONAS","BONGARA","18-29 años",6,0,"2017"
"CHURUJA","AMAZONAS","BONGARA","30-59 años",2,0,"2017"
"CHURUJA","AMAZONAS","BONGARA","12-17 años",1,0,"2018"
"CHURUJA","AMAZONAS","BONGARA","18-29 años",8,0,"2018"
"CHURUJA","AMAZONAS","BONGARA","30-59 años",1,0,"2018"
"CHURUJA","AMAZONAS","BONGARA","18-29 años",2,0,"2021"
"CHURUJA","AMAZONAS","BONGARA","30-59 años",1,0,"2021"
"CHURUJA","AMAZONAS","BONGARA","18-29 años",3,0,"2022"
"CHURUJA","AMAZONAS","BONGARA","30-59 años",1,0,"2022"
"COROSHA","AMAZONAS","BONGARA","12-17 años",1,0,"2012"
"COROSHA","AMAZONAS","BONGARA","18-29 años",1,0,"2012"
"COROSHA","AMAZONAS","BONGARA","12-17 años",1,0,"2013"
"COROSHA","AMAZONAS","BONGARA","18-29 años",1,0,"2013"
"COROSHA","AMAZONAS","BONGARA","30-59 años",1,0,"2013"
"COROSHA","AMAZONAS","BONGARA","12-17 años",1,0,"2014"
"COROSHA","AMAZONAS","BONGARA","18-29 años",15,0,"2014"
"COROSHA","AMAZONAS","BONGARA","30-59 años",3,0,"2014"
"COROSHA","AMAZONAS","BONGARA","12-17 años",2,0,"2015"
"COROSHA","AMAZONAS","BONGARA","18-29 años",12,0,"2015"
"COROSHA","AMAZONAS","BONGARA","30-59 años",4,0,"2015"
"COROSHA","AMAZONAS","BONGARA","12-17 años",3,0,"2016"
"COROSHA","AMAZONAS","BONGARA","18-29 años",8,0,"2016"
"COROSHA","AMAZONAS","BONGARA","30-59 años",8,0,"2016"
"COROSHA","AMAZONAS","BONGARA","12-17 años",4,0,"2017"
"COROSHA","AMAZONAS","BONGARA","18-29 años",7,0,"2017"
"COROSHA","AMAZONAS","BONGARA","30-59 años",8,0,"2017"
"COROSHA","AMAZONAS","BONGARA","12-17 años",5,0,"2018"
"COROSHA","AMAZONAS","BONGARA","18-29 años",11,0,"2018"
"COROSHA","AMAZONAS","BONGARA","30-59 años",5,0,"2018"
"COROSHA","AMAZONAS","BONGARA","12-17 años",1,0,"2021"
"COROSHA","AMAZONAS","BONGARA","18-29 años",5,0,"2021"
"COROSHA","AMAZONAS","BONGARA","30-59 años",1,0,"2021"
"COROSHA","AMAZONAS","BONGARA","18-29 años",6,0,"2022"
"COROSHA","AMAZONAS","BONGARA","30-59 años",4,0,"2022"
"CUISPES","AMAZONAS","BONGARA","12-17 años",1,0,"2011"
"CUISPES","AMAZONAS","BONGARA","18-29 años",5,0,"2011"
"CUISPES","AMAZONAS","BONGARA","30-59 años",4,0,"2011"
"CUISPES","AMAZONAS","BONGARA","18-29 años",3,0,"2012"
"CUISPES","AMAZONAS","BONGARA","30-59 años",4,0,"2012"
"CUISPES","AMAZONAS","BONGARA","12-17 años",1,0,"2018"
