"","DEPARTAMENTO","PROVINCIA","DISTRITO","2014","2015","2016","2017","2018","2019","2020","2021","2022","total"
"149","HUANCAVELICA","TAYACAJA","PAMPAS",NA,NA,NA,NA,NA,1,NA,NA,NA,1
"150","HUANCAVELICA","TAYACAJA","PICHOS",NA,NA,NA,NA,NA,NA,NA,1,NA,1
"151","HUANCAVELICA","HUANCAVELICA","ASCENSION",NA,1,NA,NA,NA,NA,NA,NA,NA,1
"152","HUANCAVELICA","ANGARAES","LIRCAY",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"153","HUANCAVELICA","CHURCAMPA","COSME",NA,NA,NA,NA,NA,1,NA,NA,NA,1
"154","HUANCAVELICA","HUAYTARA","CORDOVA",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"155","HUANCAVELICA","HUAYTARA","PILPICHACA",NA,NA,NA,NA,NA,NA,NA,1,NA,1
"156","HUANUCO","HUAMALIES","JACAS GRANDE",NA,NA,NA,NA,NA,1,NA,NA,NA,1
"157","HUANUCO","HUAMALIES","MONZON",NA,NA,NA,NA,1,NA,NA,NA,NA,1
"158","HUANUCO","HUANUCO","AMARILIS",NA,2,1,NA,NA,NA,1,2,NA,6
"159","HUANUCO","HUANUCO","CHURUBAMBA",NA,NA,NA,NA,NA,NA,1,NA,NA,1
"160","HUANUCO","HUANUCO","HUANUCO",2,NA,NA,2,NA,2,1,2,1,10
"161","HUANUCO","HUANUCO","PILLCO MARCA",NA,NA,1,1,1,NA,1,NA,NA,4
"162","HUANUCO","HUANUCO","SAN PABLO DE PILLAO",NA,NA,NA,NA,NA,NA,1,NA,NA,1
"163","HUANUCO","HUANUCO","SANTA MARIA DEL VALLE",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"164","HUANUCO","PACHITEA","MOLINO",NA,NA,NA,NA,NA,NA,NA,2,NA,2
"165","HUANUCO","PACHITEA","PANAO",NA,1,NA,NA,2,1,NA,2,1,7
"166","HUANUCO","PACHITEA","UMARI",1,NA,NA,NA,NA,2,1,NA,NA,4
"167","HUANUCO","LEONCIO PRADO","JOSE CRESPO Y CASTILLO",NA,NA,1,NA,NA,NA,NA,NA,NA,1
"168","HUANUCO","LEONCIO PRADO","MARIANO DAMASO BERAUN",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"169","HUANUCO","LEONCIO PRADO","RUPA-RUPA",2,NA,NA,NA,NA,1,NA,NA,NA,3
"170","HUANUCO","HUACAYBAMBA","COCHABAMBA",NA,NA,NA,1,NA,NA,NA,NA,NA,1
"171","HUANUCO","DOS DE MAYO","MARIAS",NA,NA,NA,1,NA,NA,NA,NA,NA,1
"172","HUANUCO","PUERTO INCA","PUERTO INCA",NA,NA,NA,2,1,NA,NA,1,NA,4
"173","HUANUCO","PUERTO INCA","YUYAPICHIS",NA,NA,NA,NA,NA,1,NA,NA,NA,1
"174","HUANUCO","AMBO","AMBO",NA,NA,NA,NA,NA,NA,NA,1,NA,1
"175","HUANUCO","AMBO","HUACAR",NA,NA,NA,NA,NA,NA,NA,1,NA,1
"176","ICA","ICA","ICA",NA,NA,1,NA,NA,1,NA,2,2,6
"177","ICA","ICA","LA TINGUIÑA",NA,NA,NA,NA,NA,NA,NA,2,NA,2
"178","ICA","ICA","LOS AQUIJES",NA,NA,NA,NA,NA,NA,NA,NA,1,1
"179","ICA","ICA","PACHACUTEC",NA,NA,NA,NA,NA,NA,NA,NA,1,1
"180","ICA","ICA","SANTIAGO",NA,NA,1,NA,NA,NA,NA,NA,1,2
"181","ICA","ICA","SUBTANJALLA",NA,NA,NA,NA,NA,NA,NA,NA,1,1
"182","ICA","ICA","YAUCA DEL ROSARIO",NA,NA,NA,NA,1,NA,NA,NA,NA,1
"183","ICA","CHINCHA","CHINCHA ALTA",NA,NA,NA,2,NA,NA,NA,3,1,6
